update,global_step,wallclock,ep_return_mean,ep_success_mean,policy_loss,value_loss,entropy,lr
1,4096,2.4753129482269287,nan,nan,-0.013978342118207365,0.020944960473570973,11.359609834849834,0.00012499999999999998
2,8192,4.692071199417114,nan,nan,-0.005411758796981303,0.0412023825047072,11.377033583819866,0.00024999999999999995
3,12288,6.9546799659729,nan,nan,-0.006212032931216527,0.0018255951081300736,11.392937317490578,0.0002998718637580951
4,16384,9.244343996047974,nan,nan,-0.011713725834852085,0.00033628015501108166,11.404661945998669,0.0002990896015976924
5,20480,11.614019870758057,nan,nan,-0.008655775804072618,0.00025534456199238775,11.425098940730095,0.00029759997108220196
6,24576,14.021990776062012,nan,nan,-0.009605403800378554,0.00022515457385452464,11.441994704306126,0.0002954100398908995
7,28672,16.39902949333191,nan,nan,-0.009217174811055884,0.00021542173828947853,11.461642824113369,0.0002925301983394607
8,32768,18.641502380371094,nan,nan,-0.006138212644145824,0.00022941562212963618,11.47881106287241,0.0002889741100822202
9,36864,20.844670057296753,nan,nan,-0.00700897926435573,0.00022674841363823361,11.502227269113064,0.0002847586472837968
10,40960,23.188634872436523,nan,nan,-0.008290577221487183,0.0002390259343201251,11.536073580384254,0.0002799038105676658
11,45056,25.699867725372314,nan,nan,-0.006136960128060309,0.00020210812010645895,11.557814039289951,0.0002744326341214922
12,49152,28.175707578659058,nan,nan,-0.005936288311204407,0.00019212852288319482,11.557013534009457,0.00026837107640945905
13,53248,30.614434957504272,nan,nan,-0.007955410284921527,0.00015783901847044035,11.54313426464796,0.00026174789701011555
14,57344,33.08303499221802,nan,nan,-0.0034748645484796725,0.00018690556674982872,11.543349370360374,0.00025459452016409926
15,61440,35.548091411590576,nan,nan,-0.004566805142530939,0.00017130698870460037,11.553229592740536,0.00024694488567914106
16,65536,38.03028440475464,nan,nan,-0.005043923047196586,0.00017252586758331745,11.557165674865246,0.000238835287899747
17,69632,40.62766122817993,nan,nan,-0.007870270030252868,0.00015245296316379608,11.562876045703888,0.000230304203505579
18,73728,43.19762396812439,nan,nan,-0.00756584793998627,0.00011288965072253632,11.579795688390732,0.00022139210895556104
19,77824,45.78151607513428,nan,nan,-0.007778727311233524,0.00011583755093624859,11.59098106622696,0.0002121412884438598
20,81920,48.24499320983887,nan,nan,-0.005566233219724381,0.00012083623028047441,11.610760979354382,0.00020259563327891314
21,86016,50.66952967643738,nan,nan,-0.006988089895457961,0.0001081546300838454,11.637125492095947,0.00019280043363736579
22,90112,53.073578119277954,nan,nan,-0.0060436521525844,0.0001095821118042295,11.65167761594057,0.00018280216368095638
23,94208,55.44597339630127,nan,nan,-0.00759680457849754,0.00011401114846876226,11.651612155139446,0.00017264826105588548
24,98304,57.859031438827515,nan,nan,-0.0035161660780431703,0.00011739466327753689,11.650818355381489,0.00016238690182084986
25,102400,60.22632384300232,nan,nan,-0.006630537041928619,0.00014511933215999306,11.665739260613918,0.00015206677187161439
26,106496,62.66619396209717,nan,nan,-0.006286766758421436,0.00013420512436823628,11.681195065379143,0.00014173683594662022
27,110592,65.07802248001099,nan,nan,-0.006927533453563228,0.00011078991434487762,11.687822923064232,0.00013144610530959784
28,114688,67.43068552017212,nan,nan,-0.005148117241333239,0.00011849040492961649,11.69900457561016,0.00012124340521143926
29,118784,69.87156510353088,nan,nan,-0.006514529864944052,0.00014243920338685712,11.70577671378851,0.00011117714323462193
30,122880,72.25236988067627,nan,nan,-0.006814731066697277,0.00012574252673402952,11.715568542480469,0.00010129507961929748
31,126976,74.65707755088806,nan,nan,-0.00492537881291355,0.00011554002213642889,11.72294805943966,9.164410066075108e-05
32,131072,77.03209328651428,nan,nan,-0.0063484725724265445,0.00011928324903465182,11.723689272999763,8.226999625336662e-05
33,135168,79.46685719490051,nan,nan,-0.005752592351200292,0.00011647622648069955,11.72332289814949,7.321724263655988e-05
34,139264,81.95953941345215,nan,nan,-0.0035767505469266325,0.00011516899559183003,11.724497362971306,6.452879137346007e-05
35,143360,84.3550455570221,nan,nan,-0.005219157312239986,0.000110581084243222,11.725205905735493,5.624586556354823e-05
36,147456,86.82637929916382,nan,nan,-0.0032612532886560075,0.00012245724752801834,11.72459738701582,4.840776425613886e-05
37,151552,89.25900769233704,nan,nan,-0.002606776761240326,0.00010690247961520072,11.726591400802135,4.1051675992682245e-05
38,155648,91.69243860244751,nan,nan,-0.0038231816251936834,9.769594521458203e-05,11.730819582939148,3.4212502362551864e-05
39,159744,94.05944561958313,nan,nan,-0.00498574096855009,9.09527774979324e-05,11.733322255313396,2.792269240947076e-05
40,163840,96.50936889648438,nan,nan,-0.0035267742168798577,9.627911862253313e-05,11.736060753464699,2.2212088674250956e-05
41,167936,98.97978329658508,nan,nan,-0.0035638336921692826,9.416372117243554e-05,11.738317839801311,1.71077856043083e-05
42,172032,101.42783761024475,nan,nan,-0.002190753431932535,9.739630337435301e-05,11.739292554557323,1.2634001001741373e-05
43,176128,103.84733939170837,nan,nan,-0.0009526921130600385,0.00010117942008491809,11.740449570119381,8.811961119900068e-06
44,180224,106.19256949424744,nan,nan,-0.0009129716636380181,0.00010446061423863284,11.741123288869858,5.659799953612438e-06
45,184320,108.63757872581482,nan,nan,-0.000417016646679258,0.00010675355758849037,11.741488069295883,3.192473200896828e-06
46,188416,111.06245756149292,nan,nan,-0.00032682506935088895,0.00010281002846568299,11.741386465728283,1.4216873043745137e-06
47,192512,113.4775710105896,nan,nan,-6.216703332029283e-05,0.00011829082245640166,11.741355426609516,3.558439090523335e-07
48,196608,115.9538505077362,nan,nan,1.1330121196806431e-07,0.00014587542568733625,11.741357803344727,0.0
