variant,sigma,n_episodes,mean_success
baseline,0.0,2583,1.0
oracle,0.0,2578,1.0
dinov2,0.0,1632,0.0
pi0,0.0,1632,0.0
baseline,0.05,2462,0.9480097481722177
oracle,0.05,2583,1.0
dinov2,0.05,1632,0.0
pi0,0.05,1632,0.0
baseline,0.1,1830,0.3114754098360656
oracle,0.1,2580,1.0
dinov2,0.1,1632,0.0
pi0,0.1,1632,0.0
baseline,0.2,1635,0.001834862385321101
oracle,0.2,2577,1.0
dinov2,0.2,1632,0.0
pi0,0.2,1632,0.0
baseline,0.3,1632,0.0
oracle,0.3,2582,1.0
dinov2,0.3,1632,0.0
pi0,0.3,1632,0.0
