variant,sigma,n_episodes,mean_success
baseline,0.0,1943,1.0
oracle,0.0,1938,1.0
dinov2,0.0,1044,0.07950191570881227
pi0,0.0,1025,0.0624390243902439
baseline,0.02,1895,0.9836411609498681
oracle,0.02,1940,1.0
dinov2,0.02,1044,0.09386973180076628
pi0,0.02,1025,0.0624390243902439
baseline,0.05,1628,0.8648648648648649
oracle,0.05,1941,1.0
dinov2,0.05,1044,0.09386973180076628
pi0,0.05,1025,0.0624390243902439
baseline,0.1,1052,0.1112167300380228
oracle,0.1,1938,1.0
dinov2,0.1,1044,0.09386973180076628
pi0,0.1,1025,0.0624390243902439
baseline,0.2,992,0.004032258064516129
oracle,0.2,1942,1.0
dinov2,0.2,1044,0.07950191570881227
pi0,0.2,1025,0.0624390243902439
