id,mIoU,pixel_acc,IoU_background,IoU_grasp,IoU_cut,IoU_scoop,IoU_contain,IoU_support
pot_02_00000064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hammer_01_00000203,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0
shears_01_00000038,0.0007574978577549272,0.002202248086734694,0.0,0.0,0.0022724935732647816,nan,nan,nan
bowl_02_00000059,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan
shears_02_00000172,0.007097014925373134,0.0047383211096938774,0.0,0.03548507462686567,0.0,0.0,nan,0.0
hammer_04_00000216,0.0,0.0,0.0,0.0,nan,nan,0.0,nan
ladle_04_00000112,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
ladle_03_00000104,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
pot_02_00000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saw_03_00000207,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0
shovel_02_00000134,0.0020870137959908912,0.00814632493622449,0.0,0.0,nan,0.0,nan,0.008348055183963565
hammer_01_00000137,0.0023979971445233163,0.009506536989795918,0.0,0.009591988578093265,0.0,nan,0.0,nan
knife_09_00000220,0.0016807504251700682,0.005042251275510204,0.0,0.005042251275510204,0.0,nan,nan,nan
ladle_04_00000186,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0
bowl_05_00000193,0.12495337560611712,0.7410913584183674,0.7497202536367027,0.0,0.0,0.0,0.0,0.0
scoop_01_00000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shovel_02_00000115,0.0015693012600229096,0.008191167091836735,0.0,0.0,0.0,0.0,0.0,0.009415807560137457
pot_01_00000065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
knife_09_00000046,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0
turner_06_00000244,0.003317296269897838,0.011130819515306123,0.0,0.0,nan,nan,0.0,0.013269185079591352
scissors_04_00000226,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0
ladle_05_00000286,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0
saw_02_00000051,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0
ladle_01_00000326,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0
spoon_03_00000259,0.021933724583555636,0.0036870216836734694,0.0,0.13160234750133382,0.0,0.0,0.0,0.0
trowel_05_00000237,0.19154077646683673,0.9577038823341837,0.9577038823341837,0.0,nan,0.0,0.0,0.0
trowel_01_00000208,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0
scissors_08_00000094,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
