id,mIoU,pixel_acc,IoU_background,IoU_grasp,IoU_cut,IoU_scoop,IoU_contain,IoU_support
bowl_10_00000400,0.4910091477997449,0.9820182955994898,0.9820182955994898,nan,nan,nan,0.0,nan
shears_01_00000150,0.330279084289966,0.990837252869898,0.990837252869898,0.0,0.0,nan,nan,nan
trowel_05_00000160,0.2535204156601576,0.9914799904336735,0.9937770941127115,0.02030456852791878,nan,0.0,nan,0.0
trowel_04_00000054,0.33234908589168677,0.9885004783163265,0.9885002491280518,0.008547008547008548,nan,0.0,nan,nan
tenderizer_02_00000292,0.49867715640943877,0.9973543128188775,0.9973543128188775,0.0,nan,nan,nan,nan
tenderizer_02_00000198,0.5129024204863611,0.9972845583545918,0.9972843418639878,0.0285204991087344,nan,nan,nan,nan
ladle_03_00000178,0.43460506200101917,0.9826859454719388,0.9826387154148223,0.3211764705882353,nan,nan,0.0,nan
cup_04_00000067,0.3258911963222789,0.9776735889668368,0.9776735889668368,0.0,nan,nan,0.0,nan
saw_01_00000252,0.3203722895408163,0.9611168686224489,0.9611168686224489,0.0,0.0,nan,nan,nan
scissors_06_00000007,0.2481701909279337,0.9926807637117347,0.9926807637117347,0.0,0.0,nan,0.0,nan
tenderizer_01_00000114,0.4988515425701531,0.9977030851403061,0.9977030851403061,0.0,nan,nan,nan,nan
spoon_07_00000055,0.39783938712830613,0.9901247608418368,0.9905661318646233,0.2029520295202952,nan,0.0,nan,nan
mallet_03_00000086,0.5532602424706241,0.9957599250637755,0.9957576845232754,0.11076280041797283,nan,nan,nan,nan
shears_01_00000180,0.3307789912840136,0.9923369738520408,0.9923369738520408,0.0,0.0,nan,nan,nan
shovel_01_00000076,0.4365976188295196,0.9907276387117347,0.9907195930783423,0.29916317991631797,nan,nan,nan,0.01991008349389852
pot_01_00000042,0.3260921556122449,0.9782764668367347,0.9782764668367347,0.0,nan,nan,0.0,nan
mallet_02_00000008,0.769356751003327,0.9981116470025511,0.9981074414005933,0.5406060606060606,nan,nan,nan,nan
mallet_02_00000028,0.5823663770788816,0.9972995057397959,0.9972980383359505,0.1674347158218126,nan,nan,nan,nan
shovel_02_00000108,0.5277080957323115,0.9933783083545918,0.9933806974533447,0.0,nan,nan,nan,0.5897435897435898
cup_03_00000213,0.3287943106930272,0.9863829320790817,0.9863829320790817,0.0,nan,nan,0.0,nan
bowl_02_00000099,0.4854238081951531,0.9708476163903061,0.9708476163903061,nan,nan,nan,0.0,nan
bowl_09_00000276,0.49282525510204084,0.9856505102040817,0.9856505102040817,nan,nan,nan,0.0,nan
scissors_06_00000220,0.3313303837159864,0.9939911511479592,0.9939911511479592,0.0,0.0,nan,nan,nan
scoop_01_00000201,0.3295134460034014,0.9885403380102041,0.9885403380102041,0.0,nan,0.0,nan,nan
shovel_02_00000169,0.4779167650717632,0.9921376753826531,0.9921080664762867,0.0,nan,nan,nan,0.44164222873900294
shears_01_00000189,0.3360492957041035,0.9931540975765306,0.9931536541249981,0.014994232987312572,0.0,nan,nan,nan
knife_08_00000016,0.3326377432513399,0.9922024473852041,0.9923109888576611,0.0056022408963585435,0.0,nan,nan,nan
spoon_10_00000280,0.3313901732568027,0.9941705197704082,0.9941705197704082,0.0,nan,0.0,nan,nan
