id,mIoU,pixel_acc,IoU_background,IoU_grasp,IoU_cut,IoU_scoop,IoU_contain,IoU_support
bowl_06_00000013,0.49184371014030615,0.9836874202806123,0.9836874202806123,nan,nan,nan,0.0,nan
scoop_02_00000071,0.32582310267857145,0.9774693080357143,0.9774693080357143,0.0,nan,0.0,nan,nan
shears_02_00000146,0.3308221726190476,0.9924665178571429,0.9924665178571429,0.0,0.0,nan,nan,nan
spoon_08_00000196,0.3298921130952381,0.9896763392857143,0.9896763392857143,0.0,nan,0.0,nan,nan
shovel_02_00000029,0.3295101243622449,0.9885303730867347,0.9885303730867347,0.0,nan,nan,nan,0.0
knife_09_00000220,0.32997349330357145,0.9899204799107143,0.9899204799107143,0.0,0.0,nan,nan,nan
hammer_02_00000113,0.49473104671556123,0.9894620934311225,0.9894620934311225,0.0,nan,nan,nan,nan
knife_08_00000003,0.33075906143707484,0.9922771843112245,0.9922771843112245,0.0,0.0,nan,nan,nan
tenderizer_02_00000179,0.4987643494897959,0.9975286989795918,0.9975286989795918,0.0,nan,nan,nan,nan
bowl_07_00000157,0.49130560427295916,0.9826112085459183,0.9826112085459183,nan,nan,nan,0.0,nan
bowl_07_00000251,0.4911312181122449,0.9822624362244898,0.9822624362244898,nan,nan,nan,0.0,nan
cup_01_00000253,0.32872455622874147,0.9861736686862245,0.9861736686862245,0.0,nan,nan,0.0,nan
shears_01_00000257,0.33045180963010207,0.9913554288903061,0.9913554288903061,0.0,0.0,nan,nan,nan
cup_03_00000056,0.3288989423894558,0.9866968271683674,0.9866968271683674,0.0,nan,nan,0.0,nan
scoop_02_00000195,0.32854186596513607,0.9856255978954082,0.9856255978954082,0.0,nan,0.0,nan,nan
tenderizer_02_00000088,0.49831343670280615,0.9966268734056123,0.9966268734056123,0.0,nan,nan,nan,nan
tenderizer_02_00000010,0.49824617346938777,0.9964923469387755,0.9964923469387755,0.0,nan,nan,nan,nan
hammer_04_00000060,0.4937893614477041,0.9875787228954082,0.9875787228954082,0.0,nan,nan,nan,nan
ladle_02_00000199,0.32840900031887754,0.9852270009566326,0.9852270009566326,0.0,nan,nan,0.0,nan
knife_07_00000189,0.3286979830994898,0.9860939492984694,0.9860939492984694,0.0,0.0,nan,nan,nan
hammer_01_00000214,0.495906907684949,0.991813815369898,0.991813815369898,0.0,nan,nan,nan,nan
bowl_08_00000050,0.49123086734693877,0.9824617346938775,0.9824617346938775,nan,nan,nan,0.0,nan
scoop_01_00000145,0.32900523490646255,0.9870157047193877,0.9870157047193877,0.0,nan,0.0,nan,nan
shears_01_00000226,0.3309849330357143,0.9929547991071429,0.9929547991071429,0.0,0.0,nan,nan,nan
shears_02_00000286,0.3314948049532313,0.9944844148596939,0.9944844148596939,0.0,0.0,nan,nan,nan
shovel_01_00000082,0.329926990327381,0.9897809709821429,0.9897809709821429,0.0,nan,nan,nan,0.0
mug_04_00000146,0.32718331473214285,0.9815499441964286,0.9815499441964286,0.0,nan,nan,0.0,nan
mug_15_00000042,0.32625823767006806,0.9787747130102041,0.9787747130102041,0.0,nan,nan,0.0,nan
pot_01_00000228,0.3260091145833333,0.97802734375,0.97802734375,0.0,nan,nan,0.0,nan
cup_02_00000241,0.3287777024872449,0.9863331074617347,0.9863331074617347,0.0,nan,nan,0.0,nan
trowel_04_00000172,0.32994027689200683,0.9898208306760204,0.9898208306760204,0.0,nan,0.0,nan,nan
hammer_03_00000157,0.49369718590561223,0.9873943718112245,0.9873943718112245,0.0,nan,nan,nan,nan
tenderizer_01_00000114,0.4988515425701531,0.9977030851403061,0.9977030851403061,0.0,nan,nan,nan,nan
shovel_01_00000224,0.3295798788265306,0.9887396364795918,0.9887396364795918,0.0,nan,nan,nan,0.0
shears_01_00000150,0.33039035926870747,0.9911710778061225,0.9911710778061225,0.0,0.0,nan,nan,nan
scoop_01_00000152,0.32859335140306123,0.9857800542091837,0.9857800542091837,0.0,nan,0.0,nan,nan
scissors_08_00000208,0.33172565901360546,0.9951769770408163,0.9951769770408163,0.0,0.0,nan,nan,nan
pot_02_00000017,0.32553411989795916,0.9766023596938775,0.9766023596938775,0.0,nan,nan,0.0,nan
