id,mIoU,pixel_acc,IoU_background,IoU_grasp,IoU_cut,IoU_scoop,IoU_contain,IoU_support
bowl_06_00000013,0.5703156835061504,0.9948662651909722,0.9956405443131107,nan,nan,0.0,0.7153065062053403,nan
scoop_02_00000071,0.5439241773734533,0.98773193359375,0.9875671812071312,0.060215053763440864,nan,0.5839902971497878,nan,nan
shears_02_00000146,0.44155036860010083,0.9928995768229166,0.992879052716774,0.3317720530835285,0.0,nan,nan,nan
spoon_08_00000196,0.5828484517186703,0.9919094509548612,0.9918677018929918,0.18594594594594593,nan,0.5707317073170731,nan,nan
shovel_02_00000029,0.4924603421583334,0.9922960069444444,0.9922643732167542,0.0,nan,nan,nan,0.48511665325824616
knife_09_00000220,0.4639837677641192,0.9900037977430556,0.9899789925964199,0.24041811846689895,0.16155419222903886,nan,nan,nan
hammer_02_00000113,0.7229532979931719,0.9908108181423612,0.9907397282742407,0.45516686771210296,nan,nan,nan,nan
knife_08_00000003,0.5623959467842475,0.9942966037326388,0.9945781368134975,0.5172064777327935,0.17540322580645162,nan,nan,nan
tenderizer_02_00000179,0.4987555609809028,0.9975111219618056,0.9975111219618056,0.0,nan,nan,nan,nan
bowl_07_00000157,0.9014598895113601,0.9962565104166666,0.99619708994709,nan,nan,nan,0.8067226890756303,nan
bowl_07_00000251,0.8129930898008713,0.9928927951388888,0.9928045205187885,nan,nan,nan,0.6331816590829541,nan
cup_01_00000253,0.601437048698472,0.9914754231770834,0.9924461807452737,0.2723112128146453,nan,nan,0.539553752535497,nan
shears_01_00000257,0.6661557332415563,0.9950629340277778,0.9950751012946617,0.5754961173425367,0.42789598108747046,nan,nan,nan
cup_03_00000056,0.680691793087311,0.9942084418402778,0.9956730736263208,0.35414424111948334,nan,nan,0.692258064516129,nan
scoop_02_00000195,0.5661723544576462,0.9882948133680556,0.9884401772323538,0.15021929824561403,nan,0.5598575878949711,nan,nan
tenderizer_02_00000088,0.5457573367946146,0.9969482421875,0.9969472691626698,0.09456740442655935,nan,nan,nan,nan
tenderizer_02_00000010,0.3567182377898948,0.9905938042534722,0.9905862710230897,0.07956844234659474,0.0,nan,nan,nan
hammer_04_00000060,0.6531310582983123,0.9908040364583334,0.9907648929721925,0.3154972236244321,nan,nan,nan,nan
ladle_02_00000199,0.7140380205894618,0.992431640625,0.9923531265845336,0.6486079759217457,nan,nan,0.5011529592621061,nan
knife_07_00000189,0.5482628217200777,0.9902547200520834,0.9901995553312509,0.07507820646506778,0.5795107033639144,nan,nan,nan
hammer_01_00000214,0.6689398631600136,0.9930555555555556,0.9930300782074233,0.344849648112604,nan,nan,nan,nan
bowl_08_00000050,0.4983098267238888,0.9897867838541666,0.9904872294312913,0.0,nan,nan,0.5044422507403751,nan
scoop_01_00000145,0.5730175654961446,0.9943508572048612,0.9942961613782336,0.0,nan,0.7247565351101999,nan,nan
shears_01_00000226,0.5596605446410411,0.9950222439236112,0.9950037097795233,0.6308805790108565,0.05309734513274336,nan,nan,nan
shears_02_00000286,0.44141368224731,0.9945203993055556,0.9945113170122001,0.32972972972972975,0.0,nan,nan,nan
shovel_01_00000082,0.5580490283443786,0.9948594835069444,0.9948287271710136,0.0,nan,nan,nan,0.6793183578621224
mug_04_00000146,0.7681240662216848,0.9933946397569444,0.9942442476901258,0.6215915414579856,nan,nan,0.6885364095169431,nan
mug_15_00000042,0.6704450540091399,0.9873385959201388,0.9889356311234431,0.27765820060266894,nan,nan,0.7447413303013075,nan
pot_01_00000228,0.7668094200662852,0.99267578125,0.9937733843243914,0.6014234875444839,nan,nan,0.7052313883299799,nan
cup_02_00000241,0.6950438843900321,0.9939778645833334,0.994559005701067,0.44037656903765693,nan,nan,0.6501960784313725,nan
trowel_04_00000172,0.556618911725404,0.9916042751736112,0.9918093718245119,0.11244019138755981,nan,0.5656071719641402,nan,nan
hammer_03_00000157,0.7463172585177171,0.9918687608506944,0.9918018775683234,0.5008326394671108,nan,nan,nan,nan
tenderizer_01_00000114,0.4988742404513889,0.9977484809027778,0.9977484809027778,0.0,nan,nan,nan,nan
shovel_01_00000224,0.5156880221485303,0.9946695963541666,0.9946418441897498,0.3922942206654991,0.0,nan,nan,0.6758160237388724
shears_01_00000150,0.4741069848848624,0.9933403862847222,0.9933209546545873,0.429,0.0,nan,nan,nan
scoop_01_00000152,0.6515541649299353,0.9941948784722222,0.9941410795197876,0.26666666666666666,nan,0.693854748603352,nan,nan
scissors_08_00000208,0.34068453288401873,0.9949747721354166,0.994974294977008,0.027079303675048357,0.0,nan,nan,nan
pot_02_00000017,0.8131266257182695,0.9937676323784722,0.9946644706338277,0.7067938021454112,nan,nan,0.7379216043755698,nan
shovel_01_00000228,0.6906071497113336,0.99468994140625,0.994648715144888,0.38498402555910544,nan,nan,nan,0.6921887084300077
ladle_03_00000178,0.4898299207039482,0.9887763129340278,0.9886856884244307,0.3620967741935484,nan,0.0,0.6085372201978136,nan
ladle_03_00000085,0.5735664809989293,0.9933268229166666,0.9932990568286288,0.3037037037037037,nan,nan,0.42369668246445497,nan
turner_07_00000035,0.7430885855492625,0.9896036783854166,0.9894199247731116,0.49335378323108386,nan,nan,nan,0.7464920486435921
ladle_03_00000146,0.6156237729141477,0.9885728624131944,0.9884596155031539,0.28160919540229884,nan,nan,0.5768025078369906,nan
cup_04_00000183,0.7492940169345439,0.9921332465277778,0.9931749555338012,0.6144450345193839,nan,nan,0.6402620607504467,nan
hammer_02_00000064,0.6962058331761325,0.9919501410590278,0.9919066158472144,0.40050505050505053,nan,nan,nan,nan
hammer_04_00000136,0.7945329985784977,0.9909328884548612,0.9908087856185337,0.5982572115384616,nan,nan,nan,nan
saw_03_00000207,0.6280844574287113,0.98291015625,0.9824276360289247,0.1584852734922861,0.7433404627649232,nan,nan,nan
mallet_02_00000108,0.640794190245038,0.9976399739583334,0.9976377632061255,0.2839506172839506,nan,nan,nan,nan
saw_02_00000160,0.5148866393192935,0.9842122395833334,0.98407290341119,0.09337068160597572,0.4672163329407146,nan,nan,nan
tenderizer_02_00000259,0.2483435736762153,0.9933742947048612,0.9933742947048612,0.0,0.0,0.0,nan,nan
tenderizer_02_00000251,0.5959656829375508,0.9985012478298612,0.998500708940795,0.19343065693430658,nan,nan,nan,nan
cup_05_00000180,0.7168137305274741,0.9900851779513888,0.9905574610521096,0.5952487673688929,nan,nan,0.5646349631614199,nan
knife_02_00000088,0.4108496756938249,0.9927775065104166,0.9927829452101297,0.0,0.23976608187134502,nan,nan,nan
shovel_01_00000188,0.603712569877122,0.9942694769965278,0.9950761455985795,0.22202486678507993,nan,nan,nan,0.5940366972477065
bowl_10_00000224,0.8746760213385556,0.9950086805555556,0.9949309549226901,nan,nan,nan,0.7544210877544211,nan
saw_02_00000231,0.611758877932504,0.988525390625,0.9883956188660352,0.2641711229946524,0.5827098919368247,nan,nan,nan
shears_01_00000096,0.5277145157011273,0.9908718532986112,0.9908333730599236,0.3313452617627568,0.26096491228070173,nan,nan,nan
shovel_01_00000128,0.6679044262176066,0.9936116536458334,0.9936804524905446,0.3584070796460177,nan,nan,nan,0.6516257465162575
bowl_07_00000009,0.8955459388494292,0.9959038628472222,0.9958376404107229,nan,nan,nan,0.7952542372881356,nan
mallet_04_00000229,0.6782565423291319,0.9892985026041666,0.9892316091169646,0.36728147554129914,nan,nan,nan,nan
scoop_01_00000061,0.49191684274280495,0.9913465711805556,0.9927032281028393,0.0,nan,0.48304730012557556,nan,nan
scoop_01_00000236,0.5312898921599537,0.9914076063368056,0.9914657228170631,0.03006012024048096,nan,0.5723438334223171,nan,nan
