id,mIoU,pixel_acc,IoU_background,IoU_grasp,IoU_cut,IoU_scoop,IoU_contain,IoU_support
bowl_06_00000013,0.8758801209639029,0.9957748724489796,0.9957188150003029,nan,nan,nan,0.7560414269275029,nan
scoop_02_00000071,0.4896385750390531,0.9868662308673469,0.9867375072953772,0.0,nan,0.48217821782178216,nan,nan
shears_02_00000146,0.33080888605442177,0.9924266581632653,0.9924266581632653,0.0,0.0,nan,nan,nan
spoon_08_00000196,0.3298655399659864,0.9895966198979592,0.9895966198979592,0.0,nan,0.0,nan,nan
shovel_02_00000029,0.426329394368832,0.9908322704081632,0.9908108432050181,0.0,nan,nan,nan,0.2881773399014778
knife_09_00000220,0.49183063731380344,0.9912308673469388,0.9912075614971125,0.09477124183006536,0.3895131086142322,nan,nan,nan
hammer_02_00000113,0.6205952795404168,0.9908123405612245,0.990784055015793,0.25040650406504067,nan,nan,nan,nan
knife_08_00000003,0.41353024161033897,0.9935427295918368,0.9935319013016051,0.24705882352941178,0.0,nan,nan,nan
tenderizer_02_00000179,0.49888392857142855,0.9977678571428571,0.9977678571428571,0.0,nan,nan,nan,nan
bowl_07_00000157,0.8603494586699936,0.9949776785714286,0.9949100163606617,nan,nan,nan,0.7257889009793254,nan
bowl_07_00000251,0.8663019908282736,0.9951969068877551,0.9951312147720156,nan,nan,nan,0.7374727668845316,nan
cup_01_00000253,0.7328636264573478,0.9939413265306123,0.9940043860531558,0.5892018779342723,nan,nan,0.6153846153846154,nan
shears_01_00000257,0.4569891089269505,0.9936822385204082,0.9936667132839191,0.3773006134969325,0.0,nan,nan,nan
cup_03_00000056,0.5767646061918034,0.9908721301020408,0.9911390882482659,0.40848806366047746,nan,nan,0.33066666666666666,nan
scoop_02_00000195,0.5995030616252714,0.992546237244898,0.9930365480598937,0.16666666666666666,nan,0.6388059701492538,nan,nan
tenderizer_02_00000088,0.49825613839285715,0.9965122767857143,0.9965122767857143,0.0,nan,nan,nan,nan
tenderizer_02_00000010,0.49867466517857145,0.9973493303571429,0.9973493303571429,0.0,nan,nan,nan,nan
