id,mIoU,pixel_acc,IoU_background,IoU_grasp,IoU_cut,IoU_scoop,IoU_contain,IoU_support
bowl_06_00000013,0.882506764910441,0.9960140306122449,0.9959604120379721,nan,nan,nan,0.76905311778291,nan
scoop_02_00000071,0.5685146925265321,0.9903738839285714,0.9902036345935421,0.0,nan,0.7153404429860541,nan,nan
shears_02_00000146,0.39356219108002605,0.9926857461734694,0.9926756740575169,0.1880108991825613,0.0,nan,nan,nan
spoon_08_00000196,0.6696881652832173,0.9935028698979592,0.9934601187610336,0.3026706231454006,nan,0.7129337539432177,nan,nan
shovel_02_00000029,0.4296398592090573,0.9909119897959183,0.9908900209769254,0.0,nan,nan,nan,0.29802955665024633
knife_09_00000220,0.4484463892914597,0.9904336734693877,0.9904095904095904,0.35492957746478876,0.0,nan,nan,nan
hammer_02_00000113,0.6205952795404168,0.9908123405612245,0.990784055015793,0.25040650406504067,nan,nan,nan,nan
knife_08_00000003,0.4217622597975928,0.9936224489795918,0.9936104788147438,0.27167630057803466,0.0,nan,nan,nan
tenderizer_02_00000179,0.49888392857142855,0.9977678571428571,0.9977678571428571,0.0,nan,nan,nan,nan
bowl_07_00000157,0.8592412246614106,0.9949378188775511,0.994869826907152,nan,nan,nan,0.7236126224156693,nan
bowl_07_00000251,0.8740680314428152,0.995475924744898,0.9954127513387895,nan,nan,nan,0.7527233115468409,nan
cup_01_00000253,0.5173373922631229,0.9893574617346939,0.9893144435106255,0.20448877805486285,nan,nan,0.3582089552238806,nan
shears_01_00000257,0.5269598950321219,0.9944395727040817,0.9944135196828321,0.5864661654135338,0.0,nan,nan,nan
cup_03_00000056,0.6081732450245143,0.9910913584183674,0.9915082408206694,0.4436781609195402,nan,nan,0.3893333333333333,nan
scoop_02_00000195,0.6024780058228992,0.9923469387755102,0.9928541234726947,0.17647058823529413,nan,0.638109305760709,nan,nan
tenderizer_02_00000088,0.49825613839285715,0.9965122767857143,0.9965122767857143,0.0,nan,nan,nan,nan
tenderizer_02_00000010,0.49867466517857145,0.9973493303571429,0.9973493303571429,0.0,nan,nan,nan,nan
hammer_04_00000060,0.7427039706536793,0.9912308673469388,0.9911550677441402,0.4942528735632184,nan,nan,nan,nan
ladle_02_00000199,0.6108216339160328,0.9901945153061225,0.9901238533030893,0.48604651162790696,nan,nan,0.35629453681710216,nan
knife_07_00000189,0.4964589173127913,0.98828125,0.9882331752416401,0.17086834733893558,0.3302752293577982,nan,nan,nan
hammer_01_00000214,0.7613286634977303,0.9943598533163265,0.9943239936621272,0.5283333333333333,nan,nan,nan,nan
bowl_08_00000050,0.8730290978779116,0.9949178890306123,0.9948386835607012,nan,nan,nan,0.751219512195122,nan
scoop_01_00000145,0.5125186701296792,0.9927853954081632,0.992740544659688,0.0,nan,0.5448154657293497,nan,nan
shears_01_00000226,0.33096832482993194,0.9929049744897959,0.9929049744897959,0.0,0.0,nan,nan,nan
shears_02_00000286,0.35405058233562836,0.9930046237244898,0.9930028108366724,0.0,0.06914893617021277,nan,nan,nan
shovel_01_00000082,0.5081198724879029,0.9933434311224489,0.9933103669283768,0.0,nan,nan,nan,0.5310492505353319
mug_04_00000146,0.6882512168413945,0.9910714285714286,0.9914728057089868,0.524822695035461,nan,nan,0.5484581497797357,nan
mug_15_00000042,0.6526684027781617,0.9890186543367347,0.9907413022823296,0.5461200585651538,nan,nan,0.42114384748700173,nan
