id,mIoU,pixel_acc,IoU_background,IoU_grasp,IoU_cut,IoU_scoop,IoU_contain,IoU_support
bowl_06_00000013,0.49184371014030615,0.9836874202806123,0.9836874202806123,nan,nan,nan,0.0,nan
scoop_02_00000071,0.32582310267857145,0.9774693080357143,0.9774693080357143,0.0,nan,0.0,nan,nan
shears_02_00000146,0.3308221726190476,0.9924665178571429,0.9924665178571429,0.0,0.0,nan,nan,nan
spoon_08_00000196,0.3504081751868923,0.9895816725127551,0.990046277826538,0.06117824773413897,nan,0.0,nan,nan
shovel_02_00000029,0.2924374901676316,0.989990234375,0.9899953594435325,0.0,nan,0.0,nan,0.17975460122699385
knife_09_00000220,0.33560091802707764,0.9900051817602041,0.990004335108901,0.016798418972332016,0.0,nan,nan,nan
hammer_02_00000113,0.4994895924555293,0.9895418128188775,0.9895407705646688,0.009438414346389807,nan,nan,nan,nan
knife_08_00000003,0.3347105006397042,0.9922273596938775,0.9922267400143506,0.011904761904761904,0.0,nan,nan,nan
tenderizer_02_00000179,0.4987045599489796,0.9974091198979592,0.9974091198979592,0.0,nan,nan,nan,nan
bowl_07_00000157,0.3276169971709037,0.9826012436224489,0.982850991512711,0.0,nan,nan,0.0,nan
bowl_07_00000251,0.4911312181122449,0.9822624362244898,0.9822624362244898,nan,nan,nan,0.0,nan
cup_01_00000253,0.32872455622874147,0.9861736686862245,0.9861736686862245,0.0,nan,nan,0.0,nan
shears_01_00000257,0.33045180963010207,0.9913554288903061,0.9913554288903061,0.0,0.0,nan,nan,nan
cup_03_00000056,0.3288989423894558,0.9866968271683674,0.9866968271683674,0.0,nan,nan,0.0,nan
scoop_02_00000195,0.32854186596513607,0.9856255978954082,0.9856255978954082,0.0,nan,0.0,nan,nan
tenderizer_02_00000088,0.49831343670280615,0.9966268734056123,0.9966268734056123,0.0,nan,nan,nan,nan
tenderizer_02_00000010,0.49824617346938777,0.9964923469387755,0.9964923469387755,0.0,nan,nan,nan,nan
hammer_04_00000060,0.33778567144253735,0.9878228635204082,0.987838673019797,0.025518341307814992,nan,nan,0.0,nan
ladle_02_00000199,0.32838907047193877,0.9851672114158163,0.9851672114158163,0.0,nan,nan,0.0,nan
knife_07_00000189,0.3286979830994898,0.9860939492984694,0.9860939492984694,0.0,0.0,nan,nan,nan
hammer_01_00000214,0.5869856261073095,0.9930743781887755,0.9930637684196869,0.18090748379493224,nan,nan,nan,nan
bowl_08_00000050,0.49123086734693877,0.9824617346938775,0.9824617346938775,nan,nan,nan,0.0,nan
scoop_01_00000145,0.32900523490646255,0.9870157047193877,0.9870157047193877,0.0,nan,0.0,nan,nan
shears_01_00000226,0.3309849330357143,0.9929547991071429,0.9929547991071429,0.0,0.0,nan,nan,nan
shears_02_00000286,0.3314948049532313,0.9944844148596939,0.9944844148596939,0.0,0.0,nan,nan,nan
shovel_01_00000082,0.2552748831570221,0.989631497130102,0.9942281314764569,0.026871401151631478,nan,0.0,nan,0.0
mug_04_00000146,0.32718331473214285,0.9815499441964286,0.9815499441964286,0.0,nan,nan,0.0,nan
mug_15_00000042,0.32625823767006806,0.9787747130102041,0.9787747130102041,0.0,nan,nan,0.0,nan
pot_01_00000228,0.3260091145833333,0.97802734375,0.97802734375,0.0,nan,nan,0.0,nan
cup_02_00000241,0.3287777024872449,0.9863331074617347,0.9863331074617347,0.0,nan,nan,0.0,nan
trowel_04_00000172,0.5670938711646265,0.9919483418367347,0.9919442640962892,0.7093373493975904,nan,0.0,nan,nan
hammer_03_00000157,0.5410558430549467,0.9885602678571429,0.9885467433542677,0.09356494275562574,nan,nan,nan,nan
tenderizer_01_00000114,0.4988515425701531,0.9977030851403061,0.9977030851403061,0.0,nan,nan,nan,nan
shovel_01_00000224,0.24825358540417738,0.9887296715561225,0.9930143416167095,0.0,nan,0.0,nan,0.0
shears_01_00000150,0.33026081526360546,0.9907824457908163,0.9907824457908163,0.0,0.0,nan,nan,nan
scoop_01_00000152,0.32859335140306123,0.9857800542091837,0.9857800542091837,0.0,nan,0.0,nan,nan
scissors_08_00000208,0.33172565901360546,0.9951769770408163,0.9951769770408163,0.0,0.0,nan,nan,nan
