id,mIoU,pixel_acc,IoU_background,IoU_grasp,IoU_cut,IoU_scoop,IoU_contain,IoU_support
bowl_06_00000013,0.8805905068232367,0.99609375,0.9960433989675744,nan,nan,nan,0.7651376146788991,nan
scoop_02_00000071,0.5308106064344652,0.98919677734375,0.9890593852858004,0.0,nan,0.6033724340175953,nan,nan
shears_02_00000146,0.36168900876583665,0.9915618896484375,0.9915555759158307,0.09351145038167939,0.0,nan,nan,nan
spoon_08_00000196,0.5223910160826802,0.990020751953125,0.989977165100918,0.34395973154362414,nan,0.23323615160349853,nan,nan
shovel_02_00000029,0.47994773274045094,0.9918975830078125,0.9920317504099051,0.0,nan,nan,nan,0.4478114478114478
knife_09_00000220,0.4228121611943238,0.989532470703125,0.9895108637482607,0.27892561983471076,0.0,nan,nan,nan
hammer_02_00000113,0.7139123728124387,0.9908599853515625,0.9907946704369074,0.43703007518796994,nan,nan,nan,nan
knife_08_00000003,0.4159306695459377,0.9935302734375,0.993518504364309,0.25427350427350426,0.0,nan,nan,nan
tenderizer_02_00000179,0.49871826171875,0.9974365234375,0.9974365234375,0.0,nan,nan,nan,nan
bowl_07_00000157,0.8487718814257664,0.9944915771484375,0.9944187628515329,nan,nan,nan,0.703125,nan
bowl_07_00000251,0.7782328943093744,0.9920196533203125,0.9919362299176663,nan,nan,nan,0.5645295587010825,nan
cup_01_00000253,0.5197409622880006,0.989349365234375,0.9893053044464193,0.20384615384615384,nan,nan,0.36607142857142855,nan
shears_01_00000257,0.4533342093962778,0.9938201904296875,0.9938054450902417,0.36619718309859156,0.0,nan,nan,nan
cup_03_00000056,0.6533430695078684,0.9918975830078125,0.9922141867979689,0.42777777777777776,nan,nan,0.5400372439478585,nan
scoop_02_00000195,0.5743285311948598,0.991302490234375,0.9917660638707195,0.18503937007874016,nan,0.5461801596351197,nan,nan
tenderizer_02_00000088,0.49831390380859375,0.9966278076171875,0.9966278076171875,0.0,nan,nan,nan,nan
tenderizer_02_00000010,0.49808502197265625,0.9961700439453125,0.9961700439453125,0.0,nan,nan,nan,nan
hammer_04_00000060,0.6819585389656759,0.991119384765625,0.991072250345145,0.3728448275862069,nan,nan,nan,nan
ladle_02_00000199,0.4737494717903009,0.9849853515625,0.9855016521014113,0.45310435931307796,nan,nan,0.45639187574671447,0.0
knife_07_00000189,0.2937545825075378,0.9859161376953125,0.9872546169499824,0.1877637130801688,0.0,nan,nan,0.0
hammer_01_00000214,0.6057610568935535,0.99322509765625,0.9932122546321775,0.21830985915492956,nan,nan,nan,nan
bowl_08_00000050,0.32363951750932696,0.9853973388671875,0.9871950563386777,0.0,nan,0.0,0.3073630136986301,nan
scoop_01_00000145,0.36150929141020044,0.988006591796875,0.990475315447752,0.0,nan,0.09405255878284924,nan,nan
shears_01_00000226,0.46455860442501834,0.991058349609375,0.9910209460184178,0.4026548672566372,0.0,nan,nan,nan
shears_02_00000286,0.3315022786458333,0.9945068359375,0.9945068359375,0.0,0.0,nan,nan,nan
shovel_01_00000082,0.38931768902041103,0.9908447265625,0.9908312958435208,0.0,nan,nan,nan,0.17712177121771217
mug_04_00000146,0.5855869812828555,0.9882965087890625,0.98832242401893,0.27932960893854747,nan,nan,0.4891089108910891,nan
mug_15_00000042,0.6191718305373345,0.9877777099609375,0.9888249185793446,0.4572192513368984,nan,nan,0.4114713216957606,nan
pot_01_00000228,0.6888715589649039,0.989593505859375,0.990430177459816,0.47332421340629277,nan,nan,0.6028602860286029,nan
cup_02_00000241,0.6760509971856346,0.9935150146484375,0.9943019943019943,0.3665943600867679,nan,nan,0.6672566371681415,nan
trowel_04_00000172,0.49330449017452,0.991058349609375,0.9910254839500122,0.1183206106870229,nan,0.37056737588652483,nan,nan
hammer_03_00000157,0.6751012436201924,0.99041748046875,0.9903655861190801,0.3598369011213048,nan,nan,nan,nan
tenderizer_01_00000114,0.4988250732421875,0.997650146484375,0.997650146484375,0.0,nan,nan,nan,nan
shovel_01_00000224,0.47057164685214686,0.990936279296875,0.9909149405564407,0.0,nan,nan,nan,0.4208
