id,mIoU,pixel_acc,IoU_background,IoU_grasp,IoU_cut,IoU_scoop,IoU_contain,IoU_support
bowl_06_00000013,0.8788447617861374,0.9958944515306123,0.9958398125896157,nan,nan,nan,0.761849710982659,nan
scoop_02_00000071,0.6413260938684667,0.9904536033163265,0.9903900737977456,0.21904761904761905,nan,0.7145405887600357,nan,nan
shears_02_00000146,0.33080888605442177,0.9924266581632653,0.9924266581632653,0.0,0.0,nan,nan,nan
spoon_08_00000196,0.4204259288434751,0.990593112244898,0.9905771495877503,0.27070063694267515,nan,0.0,nan,nan
shovel_02_00000029,0.426329394368832,0.9908322704081632,0.9908108432050181,0.0,nan,nan,nan,0.2881773399014778
knife_09_00000220,0.2848227620613731,0.9894371811224489,0.9899008043430533,0.14939024390243902,0.0,0.0,nan,nan
hammer_02_00000113,0.681151585544784,0.9907326211734694,0.9906815494679465,0.3716216216216216,nan,nan,nan,nan
knife_08_00000003,0.4217622597975928,0.9936224489795918,0.9936104788147438,0.27167630057803466,0.0,nan,nan,nan
tenderizer_02_00000179,0.49888392857142855,0.9977678571428571,0.9977678571428571,0.0,nan,nan,nan,nan
bowl_07_00000157,0.8592412246614106,0.9949378188775511,0.994869826907152,nan,nan,nan,0.7236126224156693,nan
bowl_07_00000251,0.7971357870532654,0.992805325255102,0.9927263202433962,nan,nan,nan,0.6015452538631346,nan
cup_01_00000253,0.5231343951019821,0.9893176020408163,0.9893060979273055,0.0,nan,nan,0.5800970873786407,nan
shears_01_00000257,0.45493088482015387,0.9936423788265306,0.9936270102886825,0.37116564417177916,0.0,nan,nan,nan
cup_03_00000056,0.6520181656603656,0.9929249043367347,0.993292903329451,0.3475783475783476,nan,nan,0.6151832460732984,nan
scoop_02_00000195,0.5926293035741107,0.9926658163265306,0.9931774271453873,0.14606741573033707,nan,0.6386430678466076,nan,nan
tenderizer_02_00000088,0.49825613839285715,0.9965122767857143,0.9965122767857143,0.0,nan,nan,nan,nan
tenderizer_02_00000010,0.49867466517857145,0.9973493303571429,0.9973493303571429,0.0,nan,nan,nan,nan
hammer_04_00000060,0.7444579968624939,0.9912906568877551,0.9912148442997004,0.49770114942528737,nan,nan,nan,nan
ladle_02_00000199,0.6469301479860253,0.9891780931122449,0.9890704883056237,0.5114068441064639,nan,nan,0.44031311154598823,nan
knife_07_00000189,0.32861660289115646,0.9858498086734694,0.9858498086734694,0.0,0.0,nan,nan,nan
hammer_01_00000214,0.6977836626139031,0.9940011160714286,0.9939768679713451,0.40159045725646125,nan,nan,nan,nan
bowl_08_00000050,0.8424394074100904,0.9942004145408163,0.9941242983483423,nan,nan,nan,0.6907545164718385,nan
scoop_01_00000145,0.521405587126497,0.9930843431122449,0.9930392569858177,0.0,nan,0.5711775043936731,nan,nan
shears_01_00000226,0.33096832482993194,0.9929049744897959,0.9929049744897959,0.0,0.0,nan,nan,nan
shears_02_00000286,0.33151971726190477,0.9945591517857143,0.9945591517857143,0.0,0.0,nan,nan,nan
shovel_01_00000082,0.5081198724879029,0.9933434311224489,0.9933103669283768,0.0,nan,nan,nan,0.5310492505353319
mug_04_00000146,0.6645879553065761,0.9904934630102041,0.9908971906152452,0.4522058823529412,nan,nan,0.5506607929515418,nan
mug_15_00000042,0.5721101754330379,0.9870455994897959,0.9903978329425083,0.5012135922330098,nan,nan,0.2247191011235955,nan
pot_01_00000228,0.70014680113233,0.9899752869897959,0.990575577397565,0.4899817850637523,nan,nan,0.6198830409356725,nan
cup_02_00000241,0.6391829552644361,0.9926658163265306,0.9930106447077727,0.22647058823529412,nan,nan,0.6980676328502415,nan
trowel_04_00000172,0.3299253295068027,0.9897759885204082,0.9897759885204082,0.0,nan,0.0,nan,nan
hammer_03_00000157,0.7338791683474519,0.990234375,0.9901463963963963,0.47761194029850745,nan,nan,nan,nan
tenderizer_01_00000114,0.4988341039540816,0.9976682079081632,0.9976682079081632,0.0,nan,nan,nan,nan
shovel_01_00000224,0.5371453793989005,0.9929647640306123,0.992917619678183,0.0,nan,nan,nan,0.6185185185185185
shears_01_00000150,0.4911663442031562,0.9922074298469388,0.9921712317795931,0.48132780082987553,0.0,nan,nan,nan
scoop_01_00000152,0.5546207706097451,0.9936025191326531,0.9941653421322657,0.0,nan,0.6696969696969697,nan,nan
scissors_08_00000208,0.5249073926138953,0.9969507334183674,0.9969444000639079,0.5777777777777777,0.0,nan,nan,nan
pot_02_00000017,0.7082784141146021,0.989616549744898,0.9907039857420609,0.6492411467116358,nan,nan,0.4848901098901099,nan
shovel_01_00000228,0.534508135302933,0.9924665178571429,0.9924132947976878,0.0,nan,nan,nan,0.6111111111111112
ladle_03_00000178,0.5276679876886028,0.985710299744898,0.9856182930498445,0.20086393088552915,nan,nan,0.39652173913043476,nan
ladle_03_00000085,0.33074909651360546,0.9922472895408163,0.9922472895408163,0.0,nan,nan,0.0,nan
turner_07_00000035,0.6184238144675079,0.9873046875,0.9871559633027523,0.28018223234624146,nan,nan,nan,0.5879332477535302
ladle_03_00000146,0.7082592863653098,0.9914301658163265,0.9913203205425809,0.39863325740318906,nan,nan,0.7348242811501597,nan
cup_04_00000183,0.7575272137852785,0.9920679209183674,0.9936729396495781,0.5134048257372654,nan,nan,0.7655038759689923,nan
hammer_02_00000064,0.7018053834125237,0.9892976721938775,0.9892160012852438,0.4143947655398037,nan,nan,nan,nan
hammer_04_00000136,0.6709726212582128,0.9863879145408163,0.9862848651579349,0.35566037735849054,nan,nan,nan,nan
saw_03_00000207,0.5586717852547044,0.9719188456632653,0.9713577134958226,0.24156305506216696,0.46309458720612356,nan,nan,nan
mallet_02_00000108,0.49923270089285715,0.9984654017857143,0.9984654017857143,0.0,nan,nan,nan,nan
saw_02_00000160,0.4553375786617589,0.9852519132653061,0.9852180339985218,0.38079470198675497,0.0,nan,nan,nan
tenderizer_02_00000259,0.4985451211734694,0.9970902423469388,0.9970902423469388,0.0,nan,nan,nan,nan
tenderizer_02_00000251,0.49942203443877553,0.9988440688775511,0.9988440688775511,0.0,nan,nan,nan,nan
cup_05_00000180,0.7186016243173006,0.9917291135204082,0.9922270901051866,0.5346715328467153,nan,nan,0.62890625,nan
knife_02_00000088,0.3307291666666667,0.9921875,0.9921875,0.0,0.0,nan,nan,nan
shovel_01_00000188,0.4280241901428124,0.9914102359693877,0.9913896435991689,0.0,nan,nan,nan,0.2926829268292683
bowl_10_00000224,0.8625327760684258,0.9950773278061225,0.9950109073281086,nan,nan,nan,0.7300546448087432,nan
saw_02_00000231,0.4138024179668685,0.9811264349489796,0.9810509044341283,0.053497942386831275,0.206858407079646,nan,nan,nan
shears_01_00000096,0.38263454095427935,0.9908721301020408,0.9908597429552167,0.15704387990762125,0.0,nan,nan,nan
shovel_01_00000128,0.469906886310618,0.9926458864795918,0.9926222133359992,0.0,nan,nan,nan,0.4170984455958549
bowl_07_00000009,0.8635879458041911,0.9951570471938775,0.9950920988851187,nan,nan,nan,0.7320837927232635,nan
mallet_04_00000229,0.4436037457719652,0.9878228635204082,0.9884199329680695,0.3423913043478261,nan,0.0,nan,nan
scoop_01_00000061,0.41960088501780163,0.9893574617346939,0.9893221355728854,0.0,nan,0.2694805194805195,nan,nan
scoop_01_00000236,0.49980076866805073,0.9924266581632653,0.99238827794804,0.0,nan,0.5070140280561122,nan,nan
tenderizer_02_00000323,0.49794722576530615,0.9958944515306123,0.9958944515306123,0.0,nan,nan,nan,nan
trowel_01_00000022,0.5123712571920321,0.9841757015306123,0.984016426443353,0.0,nan,0.5530973451327433,nan,nan
shears_02_00000172,0.49523743925351926,0.9946388711734694,0.9946181701778605,0.4910941475826972,0.0,nan,nan,nan
knife_09_00000037,0.43956989297835913,0.9919284119897959,0.9919122933141624,0.32679738562091504,0.0,nan,nan,nan
shears_02_00000244,0.33133370535714285,0.9940011160714286,0.9940011160714286,0.0,0.0,nan,nan,nan
shovel_01_00000052,0.5498385225152443,0.9946986607142857,0.9946692318483337,0.0,nan,nan,nan,0.6548463356973995
bowl_08_00000021,0.8756398985563894,0.9954559948979592,0.9953911461491813,nan,nan,nan,0.7558886509635975,nan
mug_13_00000232,0.6839629393863511,0.9909319196428571,0.9908423065311462,0.4883720930232558,nan,nan,0.5726744186046512,nan
shovel_02_00000017,0.4615189893977944,0.9927256058673469,0.9927074384128189,0.0,nan,nan,nan,0.39184952978056425
tenderizer_01_00000295,0.49888392857142855,0.9977678571428571,0.9977678571428571,0.0,nan,nan,nan,nan
scoop_02_00000164,0.547978404556237,0.9903340242346939,0.9902292598412507,0.0,nan,0.6537059538274606,nan,nan
